OBJECTID,GRID_ID,XCoord,YCoord,TOPO_mean,ENVIRO_mean,SLOPE_mean,COMBINED_mean
1,B-18,266311.9102,6815240.159,364.7,1.2,3.2,3.3
2,B-19,266311.9102,6791212.045,256.3,1.1,1.5,1.6
3,B-20,266311.9102,6767183.931,177.2,1.2,1.3,1.5
4,C-13,287120.8675,6923366.673,111.2,1.1,1.2,1.3
5,C-14,287120.8675,6899338.559,260.1,3.3,2.8,4.2
6,C-15,287120.8675,6875310.444,280.3,4.8,2.5,5.5
7,C-16,287120.8675,6851282.33,278.3,1.3,2.8,3
8,C-17,287120.8675,6827254.216,753.4,1.2,3.9,3.9
9,C-18,287120.8675,6803226.102,864.2,1.1,4.2,4.2
10,C-19,287120.8675,6779197.988,869.7,1,4.2,4.2
11,C-20,287120.8675,6755169.874,950.2,1,5.1,5.1
12,D-11,307929.8247,6983436.958,93.5,2,1.1,2.1
13,D-12,307929.8247,6959408.844,142.1,1,1.1,1.1
14,D-13,307929.8247,6935380.73,152.3,1.2,1.1,1.3
15,D-14,307929.8247,6911352.616,366.9,1.8,2.3,2.8
16,D-15,307929.8247,6887324.501,467.2,5,2.6,5.5
17,D-16,307929.8247,6863296.387,583.8,2.3,3.4,4.2
18,D-17,307929.8247,6839268.273,486.6,1.5,2.5,2.8
19,D-18,307929.8247,6815240.159,1058.8,1.1,3.2,3.3
20,D-19,307929.8247,6791212.045,875.5,1,2.4,2.4
21,D-20,307929.8247,6767183.931,1102.8,1.3,3.4,3.5
22,E-10,328738.782,6995451.015,310.2,2,1.2,2.1
23,E-11,328738.782,6971422.901,236.5,1.7,1.2,1.9
24,E-12,328738.782,6947394.787,230.7,1.7,1.2,1.9
25,E-13,328738.782,6923366.673,286.7,2.6,1.3,2.8
26,E-14,328738.782,6899338.559,374.7,3,1.4,3.2
27,E-15,328738.782,6875310.444,429.3,3,1.2,3.1
28,E-16,328738.782,6851282.33,665.5,2.9,1.6,3.2
29,E-17,328738.782,6827254.216,738.2,2,2.7,3.3
30,E-18,328738.782,6803226.102,1201.4,1,2.1,2.1
31,E-19,328738.782,6779197.988,1352.2,1,1.9,1.9
32,E-5,328738.782,7115591.586,343.6,7.7,2.8,7.7
33,E-6,328738.782,7091563.472,218.7,2.2,2.8,3.5
34,E-7,328738.782,7067535.357,273.9,1.3,3.1,3.2
35,E-8,328738.782,7043507.243,397.8,1.1,3.8,3.9
36,E-9,328738.782,7019479.129,425.6,1.9,2.2,2.8
37,F-10,349547.7392,7007465.072,855.5,2.1,2.3,3
38,F-11,349547.7392,6983436.958,582.1,2.6,2.3,3.4
39,F-12,349547.7392,6959408.844,567.4,3.4,2.5,4.2
40,F-13,349547.7392,6935380.73,557.2,3.2,1.7,3.5
41,F-14,349547.7392,6911352.616,534.7,3,1.2,3.1
42,F-15,349547.7392,6887324.501,737.5,2.4,2.2,3.3
43,F-16,349547.7392,6863296.387,1050.3,1.4,2.9,3.1
44,F-17,349547.7392,6839268.273,1568.6,1.6,4.1,4.3
45,F-18,349547.7392,6815240.159,1562.3,1.8,4.9,5
46,F-19,349547.7392,6791212.045,2171.6,1,4.8,4.8
47,F-20,349547.7392,6767183.931,3509.1,1,4.5,4.5
48,F-5,349547.7392,7127605.643,628.5,4.2,1.4,4.4
49,F-6,349547.7392,7103577.529,603,3.6,1.8,4
50,F-7,349547.7392,7079549.415,552.2,1.1,3.8,3.9
51,F-8,349547.7392,7055521.3,730.6,1.1,3.7,3.7
52,F-9,349547.7392,7031493.186,910.7,1,3.3,3.3
53,G-10,370356.6965,6995451.015,1185.3,1,2.7,2.7
54,G-11,370356.6965,6971422.901,656.2,1.8,3,3.5
55,G-12,370356.6965,6947394.787,949.7,1.7,3.8,4.1
56,G-13,370356.6965,6923366.673,1312.3,2.1,2.9,3.4
57,G-14,370356.6965,6899338.559,1308.2,2.6,3.3,4.2
58,G-15,370356.6965,6875310.444,1760.5,1.1,5,5
59,G-16,370356.6965,6851282.33,1912.3,1,4.1,4.1
60,G-17,370356.6965,6827254.216,2406.4,1.1,4,4
61,G-18,370356.6965,6803226.102,2024.3,1.5,6.1,6.2
62,G-19,370356.6965,6779197.988,3055.5,1.4,6.3,6.3
63,G-20,370356.6965,6755169.874,3291,1,6.3,6.3
64,G-21,370356.6965,6731141.76,3789.3,1,5.6,5.6
65,G-5,370356.6965,7115591.586,817.2,1,1.4,1.4
66,G-6,370356.6965,7091563.472,830.3,1,2.2,2.2
67,G-7,370356.6965,7067535.357,853.1,1.1,2.2,2.2
68,G-8,370356.6965,7043507.243,1115.6,1,2.6,2.6
69,G-9,370356.6965,7019479.129,1277.5,1,2.2,2.2
70,H-10,391165.6537,7007465.072,1530.6,1,1.9,1.9
71,H-11,391165.6537,6983436.958,1033,1,2.1,2.1
72,H-12,391165.6537,6959408.844,1344.3,1,2.9,2.9
73,H-13,391165.6537,6935380.73,1522.4,1,3.9,3.9
74,H-14,391165.6537,6911352.616,1684.1,1.2,3.8,3.9
75,H-15,391165.6537,6887324.501,2275.2,1.1,4.4,4.4
76,H-16,391165.6537,6863296.387,2933.8,1,4.4,4.4
77,H-17,391165.6537,6839268.273,3399.4,1.3,4.2,4.3
78,H-18,391165.6537,6815240.159,3184.1,2,5.2,5.4
79,H-19,391165.6537,6791212.045,2696.3,1.9,6.9,7
80,H-20,391165.6537,6767183.931,3997.4,1,6.2,6.2
81,H-21,391165.6537,6743155.817,4011.4,1,6,6.1
82,H-22,391165.6537,6719127.702,3864.6,1,5.9,5.9
83,H-5,391165.6537,7127605.643,1026.7,1,1.2,1.2
84,H-6,391165.6537,7103577.529,968.5,1,1.1,1.1
85,H-7,391165.6537,7079549.415,899.1,1,1.7,1.7
86,H-8,391165.6537,7055521.3,1326.1,1.1,2,2.1
87,H-9,391165.6537,7031493.186,1537.3,1,1.7,1.7
88,I-10,411974.611,6995451.015,1761.5,1.4,3.8,3.9
89,I-11,411974.611,6971422.901,1841.1,1,4.1,4.1
90,I-12,411974.611,6947394.787,2137.2,1,3.7,3.7
91,I-13,411974.611,6923366.673,2602.3,1,4.5,4.5
92,I-14,411974.611,6899338.559,2227.2,1.2,5.6,5.7
93,I-15,411974.611,6875310.444,2766.1,1.3,5.3,5.3
94,I-16,411974.611,6851282.33,3719.2,1.3,5.1,5.2
95,I-17,411974.611,6827254.216,3922.8,2,4.3,4.6
96,I-18,411974.611,6803226.102,3566.1,2.3,6,6.2
97,I-19,411974.611,6779197.988,4175.2,1.9,5.2,5.4
98,I-21,411974.611,6731141.76,4285.5,1,4.6,4.6
99,I-4,411974.611,7139619.7,1535.2,1,1.3,1.3
100,I-5,411974.611,7115591.586,1340.8,1.1,1,1.1
101,I-6,411974.611,7091563.472,1250.4,1,1.2,1.2
102,I-7,411974.611,7067535.357,1380.8,1,1.4,1.4
103,I-8,411974.611,7043507.243,1731,1.1,1.8,1.8
104,I-9,411974.611,7019479.129,1959.6,1.1,1.4,1.5
105,J-10,432783.5682,7007465.072,2500.7,1.9,3.9,4.2
106,J-11,432783.5682,6983436.958,2790.8,1.3,4.1,4.2
107,J-12,432783.5682,6959408.844,3107.6,1,4.3,4.3
